pick_order,scene_token,name,part,location,vehicle,num_samples,anchor_for,night,rain,construction,busy,description,th_barrier,th_bicycle,th_bus,th_car,th_const_veh,th_motorcycle,th_pedestrian,th_traffic_cone,th_trailer,th_truck,vx_drive_surf,vx_other_flat,vx_sidewalk,vx_terrain,vx_manmade,vx_vegetation
0,82240fd6d5ba4375815f8a7fa1561361,scene-0750,7,boston-seaport,n008,41,const_veh,False,False,False,True,Wait at intersection; parking lot; traffic chaos; truck blocking us; cross busy intersection; cyclist; parked cars,0,20,0,568,281,0,103,0,110,244,301716,0,130698,9044,349037,116209
1,93bdbe60d6d0495cbb39d6c811554905,scene-0247,3,boston-seaport,n008,39,traffic_cone,False,False,True,False,Construction vehicle; cone; lots of barriers; construction zone; cluster of pedestrians,1208,54,22,290,74,0,1209,1575,0,114,448164,420,79369,95648,655471,0
2,52b30ecd104a4f4eab6f8f5684a73e56,scene-0127,2,singapore-onenorth,n015,40,motorcycle,False,False,False,False,Enter car park; jaywalker; parked motorcycles; pass a bus,0,4,40,1033,0,153,111,143,0,141,339486,4961,32590,123365,685438,201474
3,2575c1870ede486b8568279b4731e47e,scene-0448,5,boston-seaport,n008,41,trailer,False,True,True,False,Rain; parked trailers; parked trucks; fence; excavator; barriers; parked cars,279,0,0,108,33,0,10,51,617,238,375589,0,6006,11163,407898,66173
4,64eef73c4f564a3db415e965f6460012,scene-0586,6,boston-seaport,n008,41,const_veh,False,True,True,False,Rain; construction; parked car; close to intersection,1893,26,0,299,254,0,77,302,38,213,196374,2880,27947,249385,180037,285980
5,2987b4494fcc4639bdd6d714a94b2c72,scene-0359,4,singapore-onenorth,n015,40,bicycle,False,False,False,False,Bus stop; parked bicycle; sparsely populated with peds; parking lot,0,117,0,410,16,0,432,111,0,60,371730,19765,78118,224182,510477,277191
6,3034b3f33e1d49f4a7b6c84bdea57004,scene-0537,6,boston-seaport,n008,41,const_veh,False,False,True,False,Construction zones; construction vehicle; pedestrian; oncoming vehicles,125,0,0,594,229,0,148,29,0,152,334909,0,189782,127437,450695,320250
7,0cc28fe2c1064fb9a51f1647c28ca564,scene-0377,4,singapore-onenorth,n015,40,bicycle,False,False,True,False,Lane change; cyclist on side walk; construction; left turn,477,158,0,169,0,0,179,68,0,40,454762,3773,188153,328557,435964,532819
8,373bf99c103d4464a7b963a83523fbcb,scene-0747,7,boston-seaport,n008,41,const_veh,False,False,False,False,Wait at intersection; peds crossing crosswalk; parking lot,0,0,15,215,287,0,144,0,82,119,162768,0,73652,0,174480,50439
9,a25d763258dc4526b52759b3ddaad7ec,scene-0687,7,boston-seaport,n008,41,bicycle,False,False,False,False,Bicyclists; many peds in sidewalk; turn right; bridge,0,154,56,527,0,0,1682,10,33,65,305734,38,77144,0,445214,158158
10,1d914f73a4a243c3acac50d24f083aac,scene-0352,4,singapore-onenorth,n015,40,barrier,False,False,True,False,Follow concrete truck; construction; traffic cones on the opposite side of the road,2759,0,11,112,60,0,238,161,33,52,313021,0,165093,396130,255847,960364
11,cfeb880362694fa7a428aec2fd139daa,scene-0763,7,boston-seaport,n008,41,bus,False,False,False,False,Fence; parking lot; bicyclist; buses; parked cars; ped with pets,1028,47,214,793,15,0,25,0,0,71,449602,0,2124,245448,312261,158945
12,3d42cd90a8184d9ebd3bb85b6416314d,scene-0260,3,boston-seaport,n008,40,bicycle,False,False,False,False,Waiting at red light; in front of turning cars; active bicycle in the right,0,135,0,625,0,0,293,0,0,118,143622,0,56834,0,349894,26976
13,3469d30a6e2a4d878fb0ff899346b7de,scene-0679,7,boston-seaport,n008,41,traffic_cone,False,False,True,False,Personal mobility; wheel chair; construction; peds; construction vehicle,1471,0,17,640,41,0,340,1773,0,120,583270,16113,75573,124608,597629,0
14,54ec146682e24683becfeab4124e8402,scene-0472,5,boston-seaport,n008,40,traffic_cone,False,True,True,False,Rain; construction; wheel barrows,100,0,0,367,58,0,137,1665,0,71,323586,89136,73970,19555,619489,29402
15,d4c5db6faa9f443795ad86561e9e556e,scene-0599,6,boston-seaport,n008,40,trailer,False,True,True,False,Rain; peds; construction; turn right; containers; cyclist,750,13,35,128,2,0,103,122,621,98,302226,21267,33414,93282,466626,81222
16,2bbae5e654224cbeb5884c471e2ad05e,scene-0688,7,boston-seaport,n008,41,bicycle,False,False,False,False,Arrive at intersection; many peds; cyclist; bicycle,0,155,41,854,0,0,675,0,0,93,229456,0,78538,0,515745,39563
17,37cfda558193400bbe3a5ff14ae4606e,scene-0647,6,boston-seaport,n008,41,bus,False,True,False,False,Rain; parked cars; parked buses,1719,0,228,365,14,0,0,6,0,127,254365,0,0,322152,271178,274362
18,f57957ebc5654b649a0786d993b64be4,scene-0133,2,singapore-onenorth,n015,40,motorcycle,False,False,True,False,Drive through parking lot; stopped bus; parked scooters; parked motorcycles; peds; parked trucks; approach barrier,0,11,40,1206,0,139,109,3,0,61,353554,0,35686,76264,659910,179817
19,cab845a2e8864482993ac62811f879c1,scene-0683,7,boston-seaport,n008,40,barrier,False,False,True,False,Wait at intersection; construction; start at intersection,1865,13,47,435,40,0,435,1657,0,8,298186,27447,69527,73560,497340,0
20,e757a98aa8794d448f65f5966b8ac954,scene-0447,5,boston-seaport,n008,40,trailer,False,True,False,False,Rain; parking lot; turn left,31,0,0,942,0,0,0,40,577,614,359849,45136,72762,66626,188447,521273
21,ed22649f50454a6ab71356780b2a2454,scene-0211,2,boston-seaport,n008,39,const_veh,False,False,True,False,Parked cars; construction area; construction vehicles,615,0,0,502,300,0,237,140,0,148,302509,4242,7548,262020,549498,53145
22,eac3102e4cc24d4b95532bcc711a902f,scene-0045,1,singapore-onenorth,n015,39,motorcycle,False,False,False,False,Full parking lot; peds; exiting from car park,0,47,33,1224,0,269,201,55,0,59,314261,2742,71776,95905,770550,156909
23,ab6eea0e06c84f70be411a9d36636a7a,scene-0170,2,boston-seaport,n008,40,trailer,False,False,False,False,Turn left; truck parked in the middle of the street; ego vehicle coming to full stand,0,0,0,179,135,0,35,21,574,509,761515,18158,82309,71101,312240,380391
24,5d709891c41d423687ae4ea0473cb9c4,scene-0585,6,boston-seaport,n008,41,const_veh,False,True,True,False,Rain; construction vehicles; cross intersection,731,0,0,1251,207,0,78,55,122,337,345831,0,87346,153793,293146,304315
25,77c9f156f8594ed59dcdacb8b877a7ac,scene-0660,7,boston-seaport,n008,40,trailer,False,False,False,False,Painted truck; parked cars,0,0,33,240,39,0,0,22,602,251,650264,842,1173,439,384300,29308
26,748894952b00431186308b387c2f424c,scene-0861,8,singapore-queenstown,n015,41,motorcycle,False,False,False,False,Wait at intersection; nature; scooters; peds on sidewalk; ped with umbrella; parked bicycle; taxi; jaywalker; delivery scooter; turn right,0,41,11,241,0,159,351,0,0,39,160119,0,57897,166498,255824,645449
27,2ffd7e2a1daf4b928464ddb2ed3dca59,scene-0171,2,boston-seaport,n008,40,trailer,False,False,False,False,Densely parked trucks,0,0,0,152,49,0,50,10,548,362,597317,0,9846,9791,336830,10001
28,cdeb0e85e43e481a87b2251351e10c2f,scene-1098,10,singapore-hollandvillage,n015,40,bus,True,False,False,False,Night; peds; scooter; bus; waiting at intersection,0,0,154,364,0,24,463,0,0,0,139626,22726,57978,141795,459176,440269
29,2dc89e0f9c6c4dbab908d341fab020c6,scene-0382,4,singapore-onenorth,n015,40,motorcycle,False,False,False,False,Turn left; parking lot; peds; parked motorcycles,0,8,0,2150,0,283,48,6,0,21,336389,262,49290,83840,631945,171105
30,5674c9e612cc4f7793330a361755830a,scene-0711,7,boston-seaport,n008,41,barrier,False,False,True,False,Change lane; truck; cars; cones; ped on sidewalk; bus; wait; car overtaking us,2495,0,39,327,40,0,363,1826,0,45,289297,1947,52775,150988,809770,0
31,52bb785dcb5548a1836898f14fb3cf6d,scene-0681,7,boston-seaport,n008,40,barrier,False,False,True,False,Wait at intersection; construction; bicycle; peds; lots of barriers and traffic cones,2111,71,40,189,40,0,530,1065,0,40,97802,0,42106,77023,348798,0
32,bd22f197e9f648cba8e307869479629b,scene-0600,6,boston-seaport,n008,41,bus,False,True,False,False,Rain; parked busses; parking lot,251,5,212,299,0,0,36,4,25,247,438551,0,79046,315838,194454,352238
33,d4d2faa310a748dda508d15c6d5c4244,scene-1019,10,singapore-queenstown,n015,40,,True,False,False,False,Night; scooter; light; peds crossing crosswalk; bus stop,104,0,32,270,0,38,1367,0,0,0,645045,6764,255993,1128824,288918,620349
34,ba76f4185aa34ed3bff467ac640da902,scene-0151,2,singapore-onenorth,n015,40,,False,False,True,True,Turn right; busy intersection; construction; peds; parked bicycles; construction vehicle; motorcycle,940,40,0,304,41,17,565,330,0,81,677856,61610,120455,244088,378555,593933
35,de7d80a1f5fb4c3e82ce8a4f213b450a,scene-1094,10,singapore-hollandvillage,n015,40,,True,True,False,False,Night; after rain; many peds; PMD; ped with bag; jaywalker; truck; scooter,0,73,49,571,0,21,1062,0,0,0,508181,41778,197481,70065,652407,702582
36,bf753f22bc524274bc359467e0be149c,scene-0848,8,singapore-queenstown,n015,41,,False,False,True,False,Parked bicycle; jaywalker; bus; peds on sidewalk; cones; parked cars,16,19,32,261,12,60,210,29,0,12,642212,37823,230558,329333,298195,1048530
37,3ace9decdd1f4ea0915b9862c95ca128,scene-1097,10,singapore-hollandvillage,n015,40,,True,False,False,False,Night; scooter; start at intersection; turn right; ped crossing crosswalk; bus,0,0,97,498,0,14,156,0,0,0,232032,14131,112677,152038,581002,453888
38,70368a18644046f898ab836fc8a3c03f,scene-0043,1,singapore-onenorth,n015,39,,False,False,True,True,Busy intersection; oncoming traffic; construction zone on the left,742,74,0,298,72,69,527,151,0,123,284289,1626,52920,70575,368220,354293
39,cc8c0bf57f984915a77078b10eb33198,scene-0061,1,singapore-onenorth,n015,39,,False,False,True,False,Parked truck; construction; intersection; turn left; following a van,1540,68,32,348,64,59,1393,1003,0,157,409855,37389,98466,173874,360021,479258
40,a2b64d02c5fa4b9bab671a97561b6b33,scene-1095,10,singapore-hollandvillage,n015,40,,True,True,False,False,Night; rain; lane change; cross intersection; scooter; bus; arrive at intersection,0,0,35,176,0,33,373,4,0,0,683846,60619,165842,528062,490318,560801
41,06c43bc74aff453081ce83eb126a756e,scene-0662,7,boston-seaport,n008,40,,False,False,True,False,Parked cars; construction; wait at intersection; jaywalker,392,20,0,859,190,30,332,435,89,297,394514,0,79443,161188,396323,124969
42,b528f78de55e41d9bb3382176dae1a4c,scene-0673,7,boston-seaport,n008,40,,False,False,True,False,Construction; bus; wait at intersection; ped crossing crosswalk,977,0,65,310,64,0,253,300,0,104,328701,35625,142151,22294,301656,202364
43,7bcc4753bdb64d2cb407b55cc4e4527f,scene-0356,4,singapore-onenorth,n015,39,,False,False,True,False,Arrive at intersection; construction; digger turning; peds crossing; bus,1573,0,51,549,39,65,589,616,0,214,255783,14671,96184,153033,246186,500766
44,d3d94f2ce3dc4db4b3ba6f4aa81c3987,scene-0738,7,boston-seaport,n008,41,,False,False,True,False,Trailers; peds on sidewalk; barrier; trucks; bendy bus; cross roundabout; cones; parking lots; cross intersection; bicycle,375,12,73,741,21,5,132,61,291,403,522004,17122,90843,86869,203173,379865
45,4db0eee3b82d49b198c1a411cf7f7d68,scene-0135,2,singapore-onenorth,n015,39,,False,False,False,True,Heavy traffic; sitting peds; parked motorcycles; 2 jaywalkers; turn right; busy intersection,223,0,11,173,0,32,444,97,0,63,334976,9011,63494,104403,415023,377935
46,85e8f6d6743a4897b5e07e685267868e,scene-0731,7,boston-seaport,n008,41,,False,False,True,False,Wait at intersection; cones; peds crossing crosswalk; parked motorcycle; bicycle; truck,82,76,0,1119,0,41,251,273,41,82,230626,45725,97289,20843,216027,661185
47,4ed628299b1e45a3a73704e8cf8287a9,scene-1053,10,singapore-hollandvillage,n015,41,,True,True,False,True,Night; rain; bump; peds; congestion; parked car,91,4,0,459,0,63,90,12,0,0,236282,5424,125822,90393,569653,705334
48,d987908d74794138b07d1237887bb441,scene-0392,4,boston-seaport,n008,40,,False,False,False,False,Cross intersection; bicyclist crossing; school bus; bicycle rack; jaywalker; peds; parked scooter,258,21,40,318,14,9,61,46,22,617,444840,70,203662,109852,403891,320757
49,20b987b503444b3d9996c8f66946afa3,scene-0734,7,boston-seaport,n008,40,,False,False,True,False,Wait at intersection; parked cars; cones; peds on sidewalks; parked motorcycle; peds on sidewalks; bus; stroller,80,39,141,923,0,40,250,270,39,143,244115,8412,127405,48634,247771,600733
50,76c632788f8c4516bef1c4297f2002f6,scene-0983,9,singapore-onenorth,n015,40,,False,False,True,False,Construction vehicle; cones; peds crossing crosswalk; peds on sidewalk; motorcycle; parked bicycles,746,19,0,258,33,62,321,611,0,66,456102,26744,132905,79332,415868,482749
51,27dc2edfb6524c7d8997ac3573ed2f3d,scene-0504,5,boston-seaport,n008,39,,False,False,True,False,Construction zone; cross intersection; peds crossing crosswalk; oncoming bus at intersection; parked car entering the road; sign trailer; bridge,322,0,39,741,0,0,813,144,41,146,348745,21348,206282,0,642607,182748
52,03ee880dd4e348f4b3407f0d073c7c70,scene-0021,1,singapore-onenorth,n015,40,,False,False,True,False,Wait at intersection; jaywalkers; parking lot; parked bicycle; turn right; construction; truck,617,40,40,678,40,0,381,153,0,75,351008,0,119290,295690,202436,836807
53,f0f7132494bc4045a21868aca13b56f9,scene-1016,10,singapore-queenstown,n015,40,,True,False,False,False,Night; peds; bus stop; bump; ped crossing crosswalk; bus,0,24,26,287,0,0,832,13,0,0,324699,11626,121620,158451,528388,815885
54,9c5dc664216e43a99d5da3f23d373e4d,scene-0592,6,boston-seaport,n008,41,,False,True,False,False,Rain; wait at intersection; turn left; huge truck; scooter,206,14,27,841,0,32,196,162,65,178,375159,36017,237727,49247,476707,998028
55,b57e1a48e584451f8f966ab083c8d07d,scene-1099,10,singapore-hollandvillage,n015,40,,True,False,False,True,Night; wait at busy intersection; peds; scooter on sidewalk; attempt to turn right,0,32,97,462,0,9,536,0,0,0,161190,32168,57812,130680,462605,444491
56,a6fae4900f8e46cba689b59b5bc8a2ab,scene-0648,6,boston-seaport,n008,40,,False,True,False,False,Rain; cross intersection; reflections; bicycle rack; bus,238,19,42,252,28,14,37,10,41,485,323974,0,134537,152663,377431,282550
57,73d9a36f20594e658020ebfc5b0ba74a,scene-0159,2,singapore-onenorth,n015,39,,False,False,True,False,Peds crossing crosswalk; barrier being pushed across crosswalk; turn left; peds,638,16,37,220,34,0,916,249,0,175,456459,29466,59049,209600,355591,548542
58,df0c3cb16cde410eba8eea191765515c,scene-0455,5,boston-seaport,n008,41,,False,True,False,False,Rain; bus; jaywalker; parking lot; parked bicycle; peds; bicycle rack,0,26,34,1583,0,0,571,62,15,476,282448,32928,67095,79513,549839,344268
59,798e8504b4364d378270333a349ef508,scene-0046,1,singapore-onenorth,n015,39,,False,False,True,True,Busy intersection; ped crossing; waiting for traffic light; construction zone on the left,762,49,0,274,72,39,554,48,0,8,299806,77,72260,75573,318728,319548
60,2cc8ffb250c44b42a888e9185810e04c,scene-0808,8,boston-seaport,n008,40,,False,True,True,False,Rain; trucks; cars; ped crossing crosswalk; cross intersection; cones,337,0,78,562,0,0,40,130,44,61,434974,78544,156876,0,317519,77030
61,25496f19ffd14bd088cb430bfc01a4d7,scene-0004,1,singapore-onenorth,n015,40,,False,False,False,False,Random scene; arrive at intersection; cross intersection; jaywalkers,1662,31,0,188,69,35,554,825,0,87,432547,23615,289,159856,514491,501555
62,d8a5dd6087de4e808c61c27f91e8216e,scene-0590,6,boston-seaport,n008,40,,False,True,True,False,Rain; cluster of traffic cones; wait at intersection; bendy bus,0,0,96,391,68,0,37,524,14,80,395931,109940,105544,5119,360596,410188
63,d033fb0d79ea42b9a356fa5162172598,scene-0880,8,boston-seaport,n008,41,,False,True,True,False,Rain; parked cars; parked bicycle; parked scooter; barriers; fence; bus; cones; turn left; peds,49,0,54,882,0,32,89,132,31,117,369969,11923,218754,112381,376128,992475
64,312102fd97de4bd4859374946e24ccdc,scene-0354,4,singapore-onenorth,n015,39,,False,False,True,False,Start at intersection; truck; bus; construction zone; parked bicycle,992,12,20,122,31,0,305,58,0,179,358403,22885,134017,248801,263383,959211
65,d3c39710e9da42f48b605824ce2a1927,scene-1108,10,singapore-hollandvillage,n015,40,,True,True,False,False,Night; wet front camera; rain; bus; wait at intersection; scooters,0,0,55,453,0,45,80,0,40,0,176531,1317,35347,69088,228513,333197
66,938479858b4849dd8ceddc11c154082b,scene-0877,8,boston-seaport,n008,39,,False,True,True,False,Rain; parked cars; barriers; cones; containers; truck; person standing on truck; ped; construction site; construction vehicle; parking lot; bus,1089,0,19,406,29,7,79,423,65,50,329749,0,123610,79557,453751,391672
67,2f9da038274a4448bdbb83f994fc6381,scene-0736,7,boston-seaport,n008,41,,False,False,True,False,Parked cars; ped crossing crosswalk; parked motorcycle; peds on sidewalk; turn left; cross intersection; fence; cone,1037,0,9,1403,0,30,279,52,20,48,476927,33354,173197,5622,416310,349765
68,34a9823fac0d4b9db30898e00b5f9f9c,scene-1017,10,singapore-queenstown,n015,40,,True,False,False,True,Night; ped; cars; bump; scooter; congestion,0,12,32,795,0,14,279,16,0,0,231426,3769,65581,452526,175030,1397612
69,c0d3796765e2452d990309b2568adac5,scene-0158,2,singapore-onenorth,n015,40,,False,False,True,True,Worker stopped ego car; worker removes cones; follow truck; heavy traffic; construction; peds,697,0,44,235,40,0,405,826,0,126,263962,22558,45000,229328,284514,424545
70,2131d9fd2c48418081875019e35cf6a2,scene-0892,8,boston-seaport,n008,40,,False,True,True,False,Rain; parked cars; barriers; peds; parked bicycle; parked scooter; bicycle rack; parking lot; crossing intersection,395,30,0,1263,6,35,366,102,0,155,269525,4844,162609,137473,367417,437636
71,30ae9c1092f6404a9e6aa0589e809780,scene-0716,7,boston-seaport,n008,40,,False,False,False,False,Wait at intersection; ped crossing crosswalk; cars; bus; peds on sidewalk; bridge; bicycle crossing crosswalk; turn right; parked cars,221,36,40,778,0,0,1112,9,40,92,534961,10065,249139,266,331347,284446
72,2121cc12888e47ce856dc5391f202594,scene-0358,4,singapore-onenorth,n015,40,,False,False,True,False,Wait at intersection; construction; heavy vehicle reversing; several peds waiting for crossing,1603,0,29,377,80,50,1146,964,0,115,205771,6588,48017,96424,199977,392659
73,717053dec2ef4baa913ba1e24c09edff,scene-0810,8,boston-seaport,n008,40,,False,True,False,False,Rain. Truck; buses; cars; peds; jaywalker; arrive at intersection,0,0,142,403,0,17,199,5,62,110,184321,0,129531,14378,561788,352525
74,8d267899e2e843d4905fafd1f12c0a20,scene-1085,10,singapore-hollandvillage,n015,41,,True,False,False,True,Night; many peds; parked bicycles; turn left; parked scooters; congestion; peds with bags; cars in parking garage on second floor; trash cans,0,100,0,467,0,63,869,0,0,9,644996,7848,287451,57223,911678,855425
75,41e0d46e715a476ab05e4d62e415ea41,scene-0700,7,boston-seaport,n008,40,,False,False,True,False,Overtake stopped cars; arrive at intersection; car overtaking us; barriers; turn right; stopped cars at red light; ped on sidewalk; parking lot; bus stop,944,0,0,1215,91,0,28,141,72,162,406448,14722,90014,287593,196933,494737
76,4047f251c21a475abb49518e0fa6fa9e,scene-0047,1,singapore-onenorth,n015,40,,False,False,True,False,Construction workers close to road; vehicle turn out; cross intersection,1155,12,6,158,39,21,396,211,0,34,444210,7539,109819,443611,392952,786191
77,5e270cfc71714e2bb94bad445c6159a4,scene-0259,3,boston-seaport,n008,40,,False,False,True,True,Busy intersection; tram bus; construction sign board; many peds; turn right; parked cars,97,0,44,737,0,0,1208,123,0,38,587601,10839,288844,5422,364603,437903
78,242ac1b59fec4e0c9c200ffca81775e2,scene-0998,9,singapore-queenstown,n015,40,,True,False,False,False,Night; roundabout; bus; ped crossing crosswalk,0,0,99,432,0,22,68,0,0,0,375186,2863,72975,408199,202969,967076
79,14b96c255dee4a838a8d401302ac2852,scene-0261,3,boston-seaport,n008,40,,False,False,True,False,Ped mending a bus; lots of barriers,866,0,101,418,39,0,117,300,30,72,510474,34243,176108,82524,450132,313651
80,f92422ed4b4e427194a4958ccf15709a,scene-0730,7,boston-seaport,n008,40,,False,False,True,False,Car overtaking us; cones; cross intersection; parked cars; trailer; peds on sidewalk; wait at intersection,689,51,0,864,8,22,160,245,13,86,441001,16097,203032,55041,353394,558119
81,f634de95cc7043b8b38ceaac67d472cf,scene-1044,10,singapore-hollandvillage,n015,41,,True,False,False,True,Night; motorcycles; dense traffic; congestion; arrive at intersection,19,0,28,622,0,48,24,0,0,67,421024,0,41071,131972,310562,788767
82,782f9486adbd4546a492e69b6697ef70,scene-0891,8,boston-seaport,n008,40,,False,True,True,False,Rain; parking lot; parked bicycles; parked cars; bicycle rack; turn left; peds; ped crossing crosswalk; cross intersection; barriers,823,0,0,1826,0,0,396,89,18,309,291554,565,167711,6077,526735,224969
