pick_order,scene_token,name,part,location,vehicle,num_samples,anchor_for,description
0,82240fd6d5ba4375815f8a7fa1561361,scene-0750,7,boston-seaport,n008,41,const_veh,Wait at intersection; parking lot; traffic chaos; truck blocking us; cross busy intersection; cyclist; parked cars
1,93bdbe60d6d0495cbb39d6c811554905,scene-0247,3,boston-seaport,n008,39,traffic_cone,Construction vehicle; cone; lots of barriers; construction zone; cluster of pedestrians
2,52b30ecd104a4f4eab6f8f5684a73e56,scene-0127,2,singapore-onenorth,n015,40,motorcycle,Enter car park; jaywalker; parked motorcycles; pass a bus
3,2575c1870ede486b8568279b4731e47e,scene-0448,5,boston-seaport,n008,41,trailer,Rain; parked trailers; parked trucks; fence; excavator; barriers; parked cars
4,64eef73c4f564a3db415e965f6460012,scene-0586,6,boston-seaport,n008,41,const_veh,Rain; construction; parked car; close to intersection
5,2987b4494fcc4639bdd6d714a94b2c72,scene-0359,4,singapore-onenorth,n015,40,bicycle,Bus stop; parked bicycle; sparsely populated with peds; parking lot
6,3034b3f33e1d49f4a7b6c84bdea57004,scene-0537,6,boston-seaport,n008,41,const_veh,Construction zones; construction vehicle; pedestrian; oncoming vehicles
7,0cc28fe2c1064fb9a51f1647c28ca564,scene-0377,4,singapore-onenorth,n015,40,bicycle,Lane change; cyclist on side walk; construction; left turn
8,373bf99c103d4464a7b963a83523fbcb,scene-0747,7,boston-seaport,n008,41,const_veh,Wait at intersection; peds crossing crosswalk; parking lot
9,a25d763258dc4526b52759b3ddaad7ec,scene-0687,7,boston-seaport,n008,41,bicycle,Bicyclists; many peds in sidewalk; turn right; bridge
10,1d914f73a4a243c3acac50d24f083aac,scene-0352,4,singapore-onenorth,n015,40,barrier,Follow concrete truck; construction; traffic cones on the opposite side of the road
11,cfeb880362694fa7a428aec2fd139daa,scene-0763,7,boston-seaport,n008,41,bus,Fence; parking lot; bicyclist; buses; parked cars; ped with pets
12,3d42cd90a8184d9ebd3bb85b6416314d,scene-0260,3,boston-seaport,n008,40,bicycle,Waiting at red light; in front of turning cars; active bicycle in the right
13,3469d30a6e2a4d878fb0ff899346b7de,scene-0679,7,boston-seaport,n008,41,traffic_cone,Personal mobility; wheel chair; construction; peds; construction vehicle
14,54ec146682e24683becfeab4124e8402,scene-0472,5,boston-seaport,n008,40,traffic_cone,Rain; construction; wheel barrows
15,d4c5db6faa9f443795ad86561e9e556e,scene-0599,6,boston-seaport,n008,40,trailer,Rain; peds; construction; turn right; containers; cyclist
16,2bbae5e654224cbeb5884c471e2ad05e,scene-0688,7,boston-seaport,n008,41,bicycle,Arrive at intersection; many peds; cyclist; bicycle
17,37cfda558193400bbe3a5ff14ae4606e,scene-0647,6,boston-seaport,n008,41,bus,Rain; parked cars; parked buses
18,f57957ebc5654b649a0786d993b64be4,scene-0133,2,singapore-onenorth,n015,40,motorcycle,Drive through parking lot; stopped bus; parked scooters; parked motorcycles; peds; parked trucks; approach barrier
19,cab845a2e8864482993ac62811f879c1,scene-0683,7,boston-seaport,n008,40,barrier,Wait at intersection; construction; start at intersection
20,e757a98aa8794d448f65f5966b8ac954,scene-0447,5,boston-seaport,n008,40,trailer,Rain; parking lot; turn left
21,ed22649f50454a6ab71356780b2a2454,scene-0211,2,boston-seaport,n008,39,const_veh,Parked cars; construction area; construction vehicles
22,eac3102e4cc24d4b95532bcc711a902f,scene-0045,1,singapore-onenorth,n015,39,motorcycle,Full parking lot; peds; exiting from car park
23,ab6eea0e06c84f70be411a9d36636a7a,scene-0170,2,boston-seaport,n008,40,trailer,Turn left; truck parked in the middle of the street; ego vehicle coming to full stand
24,5d709891c41d423687ae4ea0473cb9c4,scene-0585,6,boston-seaport,n008,41,const_veh,Rain; construction vehicles; cross intersection
25,77c9f156f8594ed59dcdacb8b877a7ac,scene-0660,7,boston-seaport,n008,40,trailer,Painted truck; parked cars
26,748894952b00431186308b387c2f424c,scene-0861,8,singapore-queenstown,n015,41,motorcycle,Wait at intersection; nature; scooters; peds on sidewalk; ped with umbrella; parked bicycle; taxi; jaywalker; delivery scooter; turn right
27,2ffd7e2a1daf4b928464ddb2ed3dca59,scene-0171,2,boston-seaport,n008,40,trailer,Densely parked trucks
28,cdeb0e85e43e481a87b2251351e10c2f,scene-1098,10,singapore-hollandvillage,n015,40,bus,Night; peds; scooter; bus; waiting at intersection
