scene_token,name,location,vehicle,num_samples,n_lidar_samples_seen,description,th_barrier,th_bicycle,th_bus,th_car,th_const_veh,th_motorcycle,th_pedestrian,th_traffic_cone,th_trailer,th_truck,vx_drive_surf,vx_other_flat,vx_sidewalk,vx_terrain,vx_manmade,vx_vegetation
73030fb67d3c46cfb5e590168088ae39,scene-0001,singapore-onenorth,n015,40,40,Construction; maneuver between several trucks,0,0,0,25,33,0,151,61,0,179,235372,85,118301,301447,247535,265266
c3e0e9f6ee8d4170a3d22a6179f1ca3a,scene-0002,singapore-onenorth,n015,40,40,Intersection; peds; waiting vehicle; parked motorcycle at parking lot,461,16,0,255,39,93,144,79,0,117,363963,2532,45561,102351,437118,438700
e7ef871f77f44331aefdebc24ec034b7,scene-0003,singapore-onenorth,n015,40,40,Parking lot; barrier; exit parking lot,0,64,0,960,0,0,450,305,0,0,346741,22174,85141,155630,626306,185761
25496f19ffd14bd088cb430bfc01a4d7,scene-0004,singapore-onenorth,n015,40,40,Random scene; arrive at intersection; cross intersection; jaywalkers,1662,31,0,188,69,35,554,825,0,87,432547,23615,289,159856,514491,501555
6f5133fe62b240e797bac25aeff8b531,scene-0005,singapore-onenorth,n015,39,39,Overtaken by taxi; construction site,353,0,39,145,63,0,130,358,0,17,287040,6267,64105,222573,191212,657083
7deb4760e2244f32b57f9d631b535b66,scene-0006,singapore-onenorth,n015,40,40,Sitting construction worker; parked bicycle; ped walking along road; construction vehicle; worker sitting on back of van,1364,49,0,98,46,9,310,104,0,69,781309,42,109502,744847,280655,930572
bc219c0fa63b43b4b9dddab47fce1fef,scene-0007,singapore-onenorth,n015,39,39,Van overtaking us; peds; jaywalker; bicycle rack; turn left,0,52,0,92,0,0,659,0,0,39,735136,34671,329321,165614,666149,355401
9a61a88ed9094334a73aa93c08222110,scene-0008,singapore-onenorth,n015,40,40,Several moving pedestrians; parked cards and motorcycle,0,18,0,50,0,28,448,0,0,72,260603,0,230297,279956,864108,564974
dd61533869aa48f2aaa7e8a6418bdbe6,scene-0009,singapore-onenorth,n015,40,40,Peds crossing; parked cars; garbage; peds waiting,14,9,0,75,35,14,145,2,0,47,198185,38821,96781,403184,326465,499462
daa9fce50073470398da3c2bccdaf21b,scene-0010,singapore-onenorth,n015,40,40,Parked motorcycle; person pickung up garbage; pass construction vehicles and entrance to construction site,17,0,27,38,36,22,62,26,59,113,260333,0,55939,565852,90337,1133379
c075fbdd97124beaba95bc5c25149f30,scene-0011,singapore-onenorth,n015,40,40,Turn left; pass trucks on both sides; construction workers; sleeping construction workers; garbage; parked cars,0,0,14,134,38,0,245,62,0,238,203752,0,56226,373268,223381,291924
