# scene_token,name,part,location,vehicle,description
c3e0e9f6ee8d4170a3d22a6179f1ca3a,scene-0002,1,singapore-onenorth,n015,Intersection; peds; waiting vehicle; parked motorcycle at parking lot
e7ef871f77f44331aefdebc24ec034b7,scene-0003,1,singapore-onenorth,n015,Parking lot; barrier; exit parking lot
7deb4760e2244f32b57f9d631b535b66,scene-0006,1,singapore-onenorth,n015,Sitting construction worker; parked bicycle; ped walking along road; construction vehicle; worker sitting on back of van
03ee880dd4e348f4b3407f0d073c7c70,scene-0021,1,singapore-onenorth,n015,Wait at intersection; jaywalkers; parking lot; parked bicycle; turn right; construction; truck
d0880a386b6d434bb5cd13c134af7a3e,scene-0023,1,singapore-onenorth,n015,Overtake parked car; bus turning; motorcycle
d7ebcbbd26d849b384c11bec8df28a9b,scene-0024,1,singapore-onenorth,n015,Intersection; peds in cafe; parked motorcycle; ped crossing
5a0dd8908a3a459b83ec5eb6ac7d0f82,scene-0036,1,singapore-onenorth,n015,Parked bicycle; construction; peds; workers; construction vehicle; bike racks
8edbc31083ab4fb187626e5b3c0411f7,scene-0039,1,singapore-onenorth,n015,Busy street; parked cars; parking lot; ped sitting at bus stop; motorcycle driving
9a81caa3d5134d7f87ee4786ccef68f7,scene-0050,1,singapore-onenorth,n015,Narrow street; seveal peds; shadows; turn left; parked motorcycle
83773bcf46ac486383529098de0542dd,scene-0056,1,singapore-onenorth,n015,Peds; nature; construction; trash can; parked truck; turn right
a5d7cc4bf3404cccb89932d94ccb9da6,scene-0069,1,boston-seaport,n008,Turn left; peds near parked bus; bird
78c5f7d7b547483c906d8524a8c3190f,scene-0074,1,boston-seaport,n008,Wait at intersection; turn left; bike rack; parked cars; peds
a1ca2ba59ac9452fb3da60019bf32c71,scene-0120,2,singapore-onenorth,n015,Parked motorcycles; parking lot; wait at intersection; truck; ped very close to ego-vehicle
00590cbfa24a430a8c274b51e1c71231,scene-0126,2,singapore-onenorth,n015,Delayed left turn; jaywalker; parking lot; bus stops; parked bicycle; truck; turn right
f57957ebc5654b649a0786d993b64be4,scene-0133,2,singapore-onenorth,n015,Drive through parking lot; stopped bus; parked scooters; parked motorcycles; peds; parked trucks; approach barrier
4db0eee3b82d49b198c1a411cf7f7d68,scene-0135,2,singapore-onenorth,n015,Heavy traffic; sitting peds; parked motorcycles; 2 jaywalkers; turn right; busy intersection
7365754410624f2f85087003f4ed41ad,scene-0138,2,singapore-onenorth,n015,Bus stop; parked bicycles; bus stop; bicycle rack; peds
94f224a2a36c4bbbab59120cc6c31f6e,scene-0150,2,singapore-onenorth,n015,Oncoming scooter; scooters; busy intersection; walking peds
ba76f4185aa34ed3bff467ac640da902,scene-0151,2,singapore-onenorth,n015,Turn right; busy intersection; construction; peds; parked bicycles; construction vehicle; motorcycle
73d9a36f20594e658020ebfc5b0ba74a,scene-0159,2,singapore-onenorth,n015,Peds crossing crosswalk; barrier being pushed across crosswalk; turn left; peds
8e1f7ff7dc9940da8eeca3c06ae1aa4d,scene-0203,2,boston-seaport,n008,Construction; bus; turn right; crane; parked cars; ped crossing crosswalk; ped with backpack; parking lot
2e3c0f308fcf4664bf7994053d7080b9,scene-0210,2,boston-seaport,n008,Parked vehicles; construction vehicle; container; peds; excavator; cranes; parking lot; turn left; worker sitting on trunk of pickup truck
60111bb5388f4195b98555d4d4b89618,scene-0224,3,boston-seaport,n008,Peds crossing crosswalk; arrive at intersection; barrier; ped with backpack; heavy truck
0053e9c440a94c1b84bd9c4223efc4b0,scene-0234,3,boston-seaport,n008,Truck; light turns green; peds; parked cars; right turn
724957e51f464a9aa64a16458443786d,scene-0238,3,boston-seaport,n008,Many peds; ped with pet; stopped bicycle; truck; cross intersection; car makes a u-turn; lane changing; peds crossing crosswalk; parked bicycle
dc9ef63b61394d3d8effeb51919f2144,scene-0241,3,boston-seaport,n008,Overtake large truck; peds; parked bicycle
93bdbe60d6d0495cbb39d6c811554905,scene-0247,3,boston-seaport,n008,Construction vehicle; cone; lots of barriers; construction zone; cluster of pedestrians
aa45d94630be481787f20121ce89a605,scene-0258,3,boston-seaport,n008,Parked cars; cone; active cars; construction vehicle
5e270cfc71714e2bb94bad445c6159a4,scene-0259,3,boston-seaport,n008,Busy intersection; tram bus; construction sign board; many peds; turn right; parked cars
201b7c65a61f4bc1a2333ea90ba9a932,scene-0276,3,singapore-onenorth,n015,Intersection; peds; cars; scooter; parked bicycle
ab8bf18dfce14db4b8213b88f5dc1429,scene-0287,3,boston-seaport,n008,Overtake heavy truck; stopped motorcycle; parking lot; peds; arrive at intersection
d825d5544592463e8c138473502dfeea,scene-0350,4,singapore-onenorth,n015,Nature; parked truck; peds; peds with luggage; sitting ped; parked bicycles; bridge; taxi; concrete truck; turn left; stopped truck
312102fd97de4bd4859374946e24ccdc,scene-0354,4,singapore-onenorth,n015,Start at intersection; truck; bus; construction zone; parked bicycle
2987b4494fcc4639bdd6d714a94b2c72,scene-0359,4,singapore-onenorth,n015,Bus stop; parked bicycle; sparsely populated with peds; parking lot
cf10376382b74af1975be86f7190df20,scene-0360,4,singapore-onenorth,n015,Parking lot; worker cleaning; garbage; traffic cones; knocked over traffic cone
212b65c558254e2084489bf76e371e1a,scene-0361,4,singapore-onenorth,n015,Parking lot; turn left; cone
4098aaf3c7074e7d87285e2fc95369e0,scene-0362,4,singapore-onenorth,n015,Ped; parking lot; parked scooter; turn left
88084e0150d64dd1949a9cf1493e5188,scene-0363,4,singapore-onenorth,n015,Turn right; oncoming scooter; parked trucks
