scene_token,name,part,location,vehicle,num_samples,anchor_for,description
c3e0e9f6ee8d4170a3d22a6179f1ca3a,scene-0002,1,singapore-onenorth,n015,40,,Intersection; peds; waiting vehicle; parked motorcycle at parking lot
25496f19ffd14bd088cb430bfc01a4d7,scene-0004,1,singapore-onenorth,n015,40,,Random scene; arrive at intersection; cross intersection; jaywalkers
7deb4760e2244f32b57f9d631b535b66,scene-0006,1,singapore-onenorth,n015,40,,Sitting construction worker; parked bicycle; ped walking along road; construction vehicle; worker sitting on back of van
3dd9ad3f963e4f588d75c112cbf07f56,scene-0017,1,singapore-onenorth,n015,40,,Barriers; peds; arriving at busy intersection
b51869782c0e464b8021eb798609f35f,scene-0018,1,singapore-onenorth,n015,40,,Merge left; turn into unloading zone
03ee880dd4e348f4b3407f0d073c7c70,scene-0021,1,singapore-onenorth,n015,40,,Wait at intersection; jaywalkers; parking lot; parked bicycle; turn right; construction; truck
7e3a6bdd6c6f4c8fb018cff404974446,scene-0022,1,singapore-onenorth,n015,40,,Barriers; construction; lane switch; turn left
3dd2be428534403ba150a0b60abc6a0a,scene-0035,1,singapore-onenorth,n015,40,,Parking lots; trash can; bump; scooter; peds; potential jaywalkers; bus stop; oncoming bus
5a0dd8908a3a459b83ec5eb6ac7d0f82,scene-0036,1,singapore-onenorth,n015,40,,Parked bicycle; construction; peds; workers; construction vehicle; bike racks
8edbc31083ab4fb187626e5b3c0411f7,scene-0039,1,singapore-onenorth,n015,40,,Busy street; parked cars; parking lot; ped sitting at bus stop; motorcycle driving
70368a18644046f898ab836fc8a3c03f,scene-0043,1,singapore-onenorth,n015,39,,Busy intersection; oncoming traffic; construction zone on the left
eac3102e4cc24d4b95532bcc711a902f,scene-0045,1,singapore-onenorth,n015,39,motorcycle,Full parking lot; peds; exiting from car park
798e8504b4364d378270333a349ef508,scene-0046,1,singapore-onenorth,n015,39,,Busy intersection; ped crossing; waiting for traffic light; construction zone on the left
4047f251c21a475abb49518e0fa6fa9e,scene-0047,1,singapore-onenorth,n015,40,,Construction workers close to road; vehicle turn out; cross intersection
433a14f8dcf5457fb2c4def5c749122a,scene-0057,1,singapore-onenorth,n015,39,,Jaywalkers; parked bike and scooter; parked car on the main road
9a1188aba4bf458c8220818a6c0be55a,scene-0058,1,singapore-onenorth,n015,39,,Construction; strange cleaning vehicle parked on our lane
cc8c0bf57f984915a77078b10eb33198,scene-0061,1,singapore-onenorth,n015,39,,Parked truck; construction; intersection; turn left; following a van
59530445fcc04c2090bfaf63f342f794,scene-0065,1,boston-seaport,n008,40,,Wait at intersection; truck; peds; turn right; parking lot
30e77a3561ce4f1bb4fd90e322ea29d7,scene-0066,1,boston-seaport,n008,39,,Parking lots; parked truck; construction; congestion; worker directing traffic; passing cars
cb0cd06a1dd84271968466d7b65e48f8,scene-0067,1,boston-seaport,n008,40,,Exit construction; ped on crosswalk; construction workers; parking lot
c0cb50847c3949a0b4baf2e200ac897c,scene-0070,1,boston-seaport,n008,40,,Peds; ped with bag; bus stop; parking lot; turn right; follow cyclist; trailers; turn left
68e79a88244f447f993a72da444b29ba,scene-0096,1,boston-seaport,n008,39,,Cross busy intersection; cyclist nearby; construction barriers and cones
bed67ef03c4a4066a74f6c0117d512ee,scene-0106,2,boston-seaport,n008,40,,Drive between buildings under construction; slow down at intersection; several traffic cones and temporary barriers
3b2ee26cb8484f77895bc336663df502,scene-0107,2,boston-seaport,n008,40,,Cross busy intersection; bendy bus changing lane
fb73d1a6c16147ee9416faf6b310fadb,scene-0109,2,boston-seaport,n008,40,,Cross roundabout; construction vehicle; ped walking along the road side
bed8426a524d45afab05b19cf02386b2,scene-0124,2,singapore-onenorth,n015,40,,Many peds; parked buses; parked cars
52b30ecd104a4f4eab6f8f5684a73e56,scene-0127,2,singapore-onenorth,n015,40,,Enter car park; jaywalker; parked motorcycles; pass a bus
ef5f216134a94e308697ab4c75402a20,scene-0129,2,singapore-onenorth,n015,40,,Parking lot; cross crosswalk; go over bump; construction; peds; scooter on main road
4db0eee3b82d49b198c1a411cf7f7d68,scene-0135,2,singapore-onenorth,n015,39,,Heavy traffic; sitting peds; parked motorcycles; 2 jaywalkers; turn right; busy intersection
94f224a2a36c4bbbab59120cc6c31f6e,scene-0150,2,singapore-onenorth,n015,39,,Oncoming scooter; scooters; busy intersection; walking peds
ba76f4185aa34ed3bff467ac640da902,scene-0151,2,singapore-onenorth,n015,40,,Turn right; busy intersection; construction; peds; parked bicycles; construction vehicle; motorcycle
c0d3796765e2452d990309b2568adac5,scene-0158,2,singapore-onenorth,n015,40,,Worker stopped ego car; worker removes cones; follow truck; heavy traffic; construction; peds
73d9a36f20594e658020ebfc5b0ba74a,scene-0159,2,singapore-onenorth,n015,39,,Peds crossing crosswalk; barrier being pushed across crosswalk; turn left; peds
ab6eea0e06c84f70be411a9d36636a7a,scene-0170,2,boston-seaport,n008,40,trailer,Turn left; truck parked in the middle of the street; ego vehicle coming to full stand
04061484361145f5ac6f90a5103b84a6,scene-0194,2,singapore-onenorth,n015,40,,Parked car starts to move; two bicycles lying in grass; construction zone; speed reduce; peds
8e1f7ff7dc9940da8eeca3c06ae1aa4d,scene-0203,2,boston-seaport,n008,40,,Construction; bus; turn right; crane; parked cars; ped crossing crosswalk; ped with backpack; parking lot
ed22649f50454a6ab71356780b2a2454,scene-0211,2,boston-seaport,n008,39,const_veh,Parked cars; construction area; construction vehicles
129304d659464b0fb3a51c99eaec114a,scene-0222,3,boston-seaport,n008,40,,Jaywalkers; traffic police; sitting jaywalkers; parked car and peds
60111bb5388f4195b98555d4d4b89618,scene-0224,3,boston-seaport,n008,39,,Peds crossing crosswalk; arrive at intersection; barrier; ped with backpack; heavy truck
eae0cfe3be5f44a5be4f3e2c961397ed,scene-0225,3,boston-seaport,n008,40,,Wait at intersection; construction; peds crossing crosswalk; turn right; parking lot
4959ccdac5774a088d0c9e10667f09f1,scene-0256,3,boston-seaport,n008,39,,Pass by a jaywalker; parked car; stopped at red light
aa45d94630be481787f20121ce89a605,scene-0258,3,boston-seaport,n008,40,,Parked cars; cone; active cars; construction vehicle
5e270cfc71714e2bb94bad445c6159a4,scene-0259,3,boston-seaport,n008,40,,Busy intersection; tram bus; construction sign board; many peds; turn right; parked cars
3d42cd90a8184d9ebd3bb85b6416314d,scene-0260,3,boston-seaport,n008,40,bicycle,Waiting at red light; in front of turning cars; active bicycle in the right
14b96c255dee4a838a8d401302ac2852,scene-0261,3,boston-seaport,n008,40,,Ped mending a bus; lots of barriers
9f1f69646d644e35be4fe0122a8b91ef,scene-0269,3,singapore-onenorth,n015,40,bicycle,Parked bicycles; peds sitting outside the restaurant; parked scooter
9709626638f5406f9f773348150d02fd,scene-0274,3,singapore-onenorth,n015,40,,Peds; construction zone; construction workers; barriers; cars; jaywalker
8377abf77f464a9cb62eacf63f383422,scene-0275,3,singapore-onenorth,n015,40,,Peds; bus; barriers; stopped at intersection
201b7c65a61f4bc1a2333ea90ba9a932,scene-0276,3,singapore-onenorth,n015,40,,Intersection; peds; cars; scooter; parked bicycle
26540bfbab79463cb1ba76b52ec6013b,scene-0285,3,boston-seaport,n008,40,,Cross intersection; construction; barriers; construction worker walking along the barriers
363bb6c0fdaf465aa54c39f082bb92c6,scene-0286,3,boston-seaport,n008,40,,Wait at intersection; turn right; follow and overtake truck and bus
ab8bf18dfce14db4b8213b88f5dc1429,scene-0287,3,boston-seaport,n008,40,,Overtake heavy truck; stopped motorcycle; parking lot; peds; arrive at intersection
