scene_token,name,description,location,vehicle,num_samples,duration_s,part,night,rain,construction,pedestrians,busy,turn,parked,bikes,trucks
73030fb67d3c46cfb5e590168088ae39,scene-0001,"Construction, maneuver between several trucks",singapore-onenorth,n015,40,19.49957,1,False,False,False,False,False,False,False,False,False
c3e0e9f6ee8d4170a3d22a6179f1ca3a,scene-0002,"Intersection, peds, waiting vehicle, parked motorcycle at parking lot",singapore-onenorth,n015,40,19.500185,1,False,False,False,True,False,True,True,True,False
e7ef871f77f44331aefdebc24ec034b7,scene-0003,"Parking lot, barrier, exit parking lot",singapore-onenorth,n015,40,19.250217,1,False,False,True,False,False,False,False,False,False
25496f19ffd14bd088cb430bfc01a4d7,scene-0004,"Random scene, arrive at intersection, cross intersection, jaywalkers",singapore-onenorth,n015,40,19.449828,1,False,False,False,False,False,True,False,False,False
6f5133fe62b240e797bac25aeff8b531,scene-0005,"Overtaken by taxi, construction site",singapore-onenorth,n015,39,18.901292,1,False,False,False,False,False,False,False,False,False
7deb4760e2244f32b57f9d631b535b66,scene-0006,"Sitting construction worker, parked bicycle, ped walking along road, construction vehicle, worker sitting on back of van",singapore-onenorth,n015,40,19.499594,1,False,False,False,True,False,False,True,True,True
bc219c0fa63b43b4b9dddab47fce1fef,scene-0007,"Van overtaking us, peds, jaywalker, bicycle rack, turn left",singapore-onenorth,n015,39,19.099796,1,False,False,False,True,False,True,False,True,False
9a61a88ed9094334a73aa93c08222110,scene-0008,"Several moving pedestrians, parked cards and motorcycle",singapore-onenorth,n015,40,19.101455,1,False,False,False,True,False,False,True,True,False
dd61533869aa48f2aaa7e8a6418bdbe6,scene-0009,"Peds crossing, parked cars, garbage, peds waiting",singapore-onenorth,n015,40,19.199903,1,False,False,False,True,False,False,True,False,False
daa9fce50073470398da3c2bccdaf21b,scene-0010,"Parked motorcycle, person pickung up garbage, pass construction vehicles and entrance to construction site",singapore-onenorth,n015,40,19.351994,1,False,False,False,False,False,False,True,True,False
c075fbdd97124beaba95bc5c25149f30,scene-0011,"Turn left, pass trucks on both sides, construction workers, sleeping construction workers, garbage, parked cars",singapore-onenorth,n015,40,19.500147,1,False,False,False,False,False,True,True,False,False
265f002f02d447ad9074813292eef75e,scene-0012,"Nature, bus stop, parked cars, bus exits from the intersection",singapore-onenorth,n015,40,19.497934,1,False,False,False,False,False,True,True,False,True
41fde20fedcd4d22ab26811688612870,scene-0013,"Follow bus, parked cars, trash cans, parked bicycles, nature",singapore-onenorth,n015,40,19.151807,1,False,False,False,False,False,False,True,False,True
d1e57234fd6a463d963670938f9f556e,scene-0014,"Follow bus, cross intersection, nature",singapore-onenorth,n015,40,19.25017,1,False,False,False,False,False,True,False,False,True
813213458a214a39a1d1fc77fa52fa34,scene-0015,"Narrow road, following bus, bus on opposite lane, parked cars",singapore-onenorth,n015,40,19.398941,1,False,False,False,False,False,False,True,False,True
efa5c96f05594f41a2498eb9f2e7ad99,scene-0016,"Turn left, people on both sides, parked vans",singapore-onenorth,n015,40,19.497947,1,False,False,False,False,False,True,True,False,False
3dd9ad3f963e4f588d75c112cbf07f56,scene-0017,"Barriers, peds, arriving at busy intersection",singapore-onenorth,n015,40,19.249639,1,False,False,False,True,True,True,False,False,False
b51869782c0e464b8021eb798609f35f,scene-0018,"Merge left, turn into unloading zone",singapore-onenorth,n015,40,19.398964,1,False,False,False,False,False,True,False,False,False
de943e246dad4ad686de98008a634ecf,scene-0019,"Turn left, waiting peds, turn left",singapore-onenorth,n015,40,19.248543,1,False,False,False,True,False,True,False,False,False
4d475873416a4860900f5af213e0027c,scene-0020,"Turn right, walking peds, pedestrian in blind spot in couple of frames, car park exit",singapore-onenorth,n015,39,19.050054,1,False,False,False,True,False,True,False,False,False
03ee880dd4e348f4b3407f0d073c7c70,scene-0021,"Wait at intersection, jaywalkers, parking lot, parked bicycle, turn right, construction, truck",singapore-onenorth,n015,40,19.398969,1,False,False,False,False,False,True,True,True,True
